Column,Data_Type
mcrh_TEMA_5_TRIMA_50,int64
mcrh_TEMA_5_WMA_50,int64
mcrh_TEMA_5_DEMA_100,int64
mcrh_TEMA_5_EMA_100,int64
mcrh_TEMA_5_KAMA_100,int64
mcrh_TEMA_5_SMA_100,int64
mcrh_TEMA_5_T3_100,int64
mcrh_TEMA_5_TEMA_100,int64
mcrh_TEMA_5_TRIMA_100,int64
mcrh_TEMA_5_WMA_100,int64
mcrh_TEMA_5_ti_h20,int64
mcrh_TRIMA_5_DEMA_10,int64
mcrh_TRIMA_5_EMA_10,int64
mcrh_TRIMA_5_KAMA_10,int64
mcrh_TRIMA_5_SMA_10,int64
mcrh_TRIMA_5_T3_10,int64
mcrh_TRIMA_5_TEMA_10,int64
mcrh_TRIMA_5_TRIMA_10,int64
mcrh_TRIMA_5_WMA_10,int64
mcrh_TRIMA_5_DEMA_20,int64
mcrh_TRIMA_5_EMA_20,int64
mcrh_TRIMA_5_KAMA_20,int64
mcrh_TRIMA_5_SMA_20,int64
mcrh_TRIMA_5_T3_20,int64
mcrh_TRIMA_5_TEMA_20,int64
mcrh_TRIMA_5_TRIMA_20,int64
mcrh_TRIMA_5_WMA_20,int64
mcrh_TRIMA_5_DEMA_50,int64
mcrh_TRIMA_5_EMA_50,int64
mcrh_TRIMA_5_KAMA_50,int64
mcrh_TRIMA_5_SMA_50,int64
mcrh_TRIMA_5_T3_50,int64
mcrh_TRIMA_5_TEMA_50,int64
mcrh_TRIMA_5_TRIMA_50,int64
mcrh_TRIMA_5_WMA_50,int64
mcrh_TRIMA_5_DEMA_100,int64
mcrh_TRIMA_5_EMA_100,int64
mcrh_TRIMA_5_KAMA_100,int64
mcrh_TRIMA_5_SMA_100,int64
mcrh_TRIMA_5_T3_100,int64
mcrh_TRIMA_5_TEMA_100,int64
mcrh_TRIMA_5_TRIMA_100,int64
mcrh_TRIMA_5_WMA_100,int64
mcrh_TRIMA_5_ti_h20,int64
mcrh_WMA_5_DEMA_10,int64
mcrh_WMA_5_EMA_10,int64
mcrh_WMA_5_KAMA_10,int64
mcrh_WMA_5_SMA_10,int64
mcrh_WMA_5_T3_10,int64
mcrh_WMA_5_TEMA_10,int64
mcrh_WMA_5_TRIMA_10,int64
mcrh_WMA_5_WMA_10,int64
mcrh_WMA_5_DEMA_20,int64
mcrh_WMA_5_EMA_20,int64
mcrh_WMA_5_KAMA_20,int64
mcrh_WMA_5_SMA_20,int64
mcrh_WMA_5_T3_20,int64
mcrh_WMA_5_TEMA_20,int64
mcrh_WMA_5_TRIMA_20,int64
mcrh_WMA_5_WMA_20,int64
mcrh_WMA_5_DEMA_50,int64
mcrh_WMA_5_EMA_50,int64
mcrh_WMA_5_KAMA_50,int64
mcrh_WMA_5_SMA_50,int64
mcrh_WMA_5_T3_50,int64
mcrh_WMA_5_TEMA_50,int64
mcrh_WMA_5_TRIMA_50,int64
mcrh_WMA_5_WMA_50,int64
mcrh_WMA_5_DEMA_100,int64
mcrh_WMA_5_EMA_100,int64
mcrh_WMA_5_KAMA_100,int64
mcrh_WMA_5_SMA_100,int64
mcrh_WMA_5_T3_100,int64
mcrh_WMA_5_TEMA_100,int64
mcrh_WMA_5_TRIMA_100,int64
mcrh_WMA_5_WMA_100,int64
mcrh_WMA_5_ti_h20,int64
mcrh_DEMA_10_DEMA_20,int64
mcrh_DEMA_10_EMA_20,int64
mcrh_DEMA_10_KAMA_20,int64
mcrh_DEMA_10_SMA_20,int64
mcrh_DEMA_10_T3_20,int64
mcrh_DEMA_10_TEMA_20,int64
mcrh_DEMA_10_TRIMA_20,int64
mcrh_DEMA_10_WMA_20,int64
mcrh_DEMA_10_DEMA_50,int64
mcrh_DEMA_10_EMA_50,int64
mcrh_DEMA_10_KAMA_50,int64
mcrh_DEMA_10_SMA_50,int64
mcrh_DEMA_10_T3_50,int64
mcrh_DEMA_10_TEMA_50,int64
mcrh_DEMA_10_TRIMA_50,int64
mcrh_DEMA_10_WMA_50,int64
mcrh_DEMA_10_DEMA_100,int64
mcrh_DEMA_10_EMA_100,int64
mcrh_DEMA_10_KAMA_100,int64
mcrh_DEMA_10_SMA_100,int64
mcrh_DEMA_10_T3_100,int64
mcrh_DEMA_10_TEMA_100,int64
mcrh_DEMA_10_TRIMA_100,int64
mcrh_DEMA_10_WMA_100,int64
mcrh_DEMA_10_ti_h20,int64
mcrh_EMA_10_DEMA_20,int64
mcrh_EMA_10_EMA_20,int64
mcrh_EMA_10_KAMA_20,int64
mcrh_EMA_10_SMA_20,int64
mcrh_EMA_10_T3_20,int64
mcrh_EMA_10_TEMA_20,int64
mcrh_EMA_10_TRIMA_20,int64
mcrh_EMA_10_WMA_20,int64
mcrh_EMA_10_DEMA_50,int64
mcrh_EMA_10_EMA_50,int64
mcrh_EMA_10_KAMA_50,int64
mcrh_EMA_10_SMA_50,int64
mcrh_EMA_10_T3_50,int64
mcrh_EMA_10_TEMA_50,int64
mcrh_EMA_10_TRIMA_50,int64
mcrh_EMA_10_WMA_50,int64
mcrh_EMA_10_DEMA_100,int64
mcrh_EMA_10_EMA_100,int64
mcrh_EMA_10_KAMA_100,int64
mcrh_EMA_10_SMA_100,int64
mcrh_EMA_10_T3_100,int64
mcrh_EMA_10_TEMA_100,int64
mcrh_EMA_10_TRIMA_100,int64
mcrh_EMA_10_WMA_100,int64
mcrh_EMA_10_ti_h20,int64
mcrh_KAMA_10_DEMA_20,int64
mcrh_KAMA_10_EMA_20,int64
mcrh_KAMA_10_KAMA_20,int64
mcrh_KAMA_10_SMA_20,int64
mcrh_KAMA_10_T3_20,int64
mcrh_KAMA_10_TEMA_20,int64
mcrh_KAMA_10_TRIMA_20,int64
mcrh_KAMA_10_WMA_20,int64
mcrh_KAMA_10_DEMA_50,int64
mcrh_KAMA_10_EMA_50,int64
mcrh_KAMA_10_KAMA_50,int64
mcrh_KAMA_10_SMA_50,int64
mcrh_KAMA_10_T3_50,int64
mcrh_KAMA_10_TEMA_50,int64
mcrh_KAMA_10_TRIMA_50,int64
mcrh_KAMA_10_WMA_50,int64
mcrh_KAMA_10_DEMA_100,int64
mcrh_KAMA_10_EMA_100,int64
mcrh_KAMA_10_KAMA_100,int64
mcrh_KAMA_10_SMA_100,int64
mcrh_KAMA_10_T3_100,int64
mcrh_KAMA_10_TEMA_100,int64
mcrh_KAMA_10_TRIMA_100,int64
mcrh_KAMA_10_WMA_100,int64
mcrh_KAMA_10_ti_h20,int64
mcrh_SMA_10_DEMA_20,int64
mcrh_SMA_10_EMA_20,int64
mcrh_SMA_10_KAMA_20,int64
mcrh_SMA_10_SMA_20,int64
mcrh_SMA_10_T3_20,int64
mcrh_SMA_10_TEMA_20,int64
mcrh_SMA_10_TRIMA_20,int64
mcrh_SMA_10_WMA_20,int64
mcrh_SMA_10_DEMA_50,int64
mcrh_SMA_10_EMA_50,int64
mcrh_SMA_10_KAMA_50,int64
mcrh_SMA_10_SMA_50,int64
mcrh_SMA_10_T3_50,int64
mcrh_SMA_10_TEMA_50,int64
mcrh_SMA_10_TRIMA_50,int64
mcrh_SMA_10_WMA_50,int64
mcrh_SMA_10_DEMA_100,int64
mcrh_SMA_10_EMA_100,int64
mcrh_SMA_10_KAMA_100,int64
mcrh_SMA_10_SMA_100,int64
mcrh_SMA_10_T3_100,int64
mcrh_SMA_10_TEMA_100,int64
mcrh_SMA_10_TRIMA_100,int64
mcrh_SMA_10_WMA_100,int64
mcrh_SMA_10_ti_h20,int64
mcrh_T3_10_DEMA_20,int64
mcrh_T3_10_EMA_20,int64
mcrh_T3_10_KAMA_20,int64
mcrh_T3_10_SMA_20,int64
mcrh_T3_10_T3_20,int64
mcrh_T3_10_TEMA_20,int64
mcrh_T3_10_TRIMA_20,int64
mcrh_T3_10_WMA_20,int64
mcrh_T3_10_DEMA_50,int64
mcrh_T3_10_EMA_50,int64
mcrh_T3_10_KAMA_50,int64
mcrh_T3_10_SMA_50,int64
mcrh_T3_10_T3_50,int64
mcrh_T3_10_TEMA_50,int64
mcrh_T3_10_TRIMA_50,int64
mcrh_T3_10_WMA_50,int64
mcrh_T3_10_DEMA_100,int64
mcrh_T3_10_EMA_100,int64
mcrh_T3_10_KAMA_100,int64
mcrh_T3_10_SMA_100,int64
mcrh_T3_10_T3_100,int64
mcrh_T3_10_TEMA_100,int64
mcrh_T3_10_TRIMA_100,int64
mcrh_T3_10_WMA_100,int64
mcrh_T3_10_ti_h20,int64
mcrh_TEMA_10_DEMA_20,int64
mcrh_TEMA_10_EMA_20,int64
mcrh_TEMA_10_KAMA_20,int64
mcrh_TEMA_10_SMA_20,int64
mcrh_TEMA_10_T3_20,int64
mcrh_TEMA_10_TEMA_20,int64
mcrh_TEMA_10_TRIMA_20,int64
mcrh_TEMA_10_WMA_20,int64
mcrh_TEMA_10_DEMA_50,int64
mcrh_TEMA_10_EMA_50,int64
mcrh_TEMA_10_KAMA_50,int64
mcrh_TEMA_10_SMA_50,int64
mcrh_TEMA_10_T3_50,int64
mcrh_TEMA_10_TEMA_50,int64
mcrh_TEMA_10_TRIMA_50,int64
mcrh_TEMA_10_WMA_50,int64
mcrh_TEMA_10_DEMA_100,int64
mcrh_TEMA_10_EMA_100,int64
mcrh_TEMA_10_KAMA_100,int64
mcrh_TEMA_10_SMA_100,int64
mcrh_TEMA_10_T3_100,int64
mcrh_TEMA_10_TEMA_100,int64
mcrh_TEMA_10_TRIMA_100,int64
mcrh_TEMA_10_WMA_100,int64
mcrh_TEMA_10_ti_h20,int64
mcrh_TRIMA_10_DEMA_20,int64
mcrh_TRIMA_10_EMA_20,int64
mcrh_TRIMA_10_KAMA_20,int64
mcrh_TRIMA_10_SMA_20,int64
mcrh_TRIMA_10_T3_20,int64
mcrh_TRIMA_10_TEMA_20,int64
mcrh_TRIMA_10_TRIMA_20,int64
mcrh_TRIMA_10_WMA_20,int64
mcrh_TRIMA_10_DEMA_50,int64
mcrh_TRIMA_10_EMA_50,int64
mcrh_TRIMA_10_KAMA_50,int64
mcrh_TRIMA_10_SMA_50,int64
mcrh_TRIMA_10_T3_50,int64
mcrh_TRIMA_10_TEMA_50,int64
mcrh_TRIMA_10_TRIMA_50,int64
mcrh_TRIMA_10_WMA_50,int64
mcrh_TRIMA_10_DEMA_100,int64
mcrh_TRIMA_10_EMA_100,int64
mcrh_TRIMA_10_KAMA_100,int64
mcrh_TRIMA_10_SMA_100,int64
mcrh_TRIMA_10_T3_100,int64
mcrh_TRIMA_10_TEMA_100,int64
mcrh_TRIMA_10_TRIMA_100,int64
mcrh_TRIMA_10_WMA_100,int64
mcrh_TRIMA_10_ti_h20,int64
mcrh_WMA_10_DEMA_20,int64
mcrh_WMA_10_EMA_20,int64
mcrh_WMA_10_KAMA_20,int64
mcrh_WMA_10_SMA_20,int64
mcrh_WMA_10_T3_20,int64
mcrh_WMA_10_TEMA_20,int64
mcrh_WMA_10_TRIMA_20,int64
mcrh_WMA_10_WMA_20,int64
mcrh_WMA_10_DEMA_50,int64
mcrh_WMA_10_EMA_50,int64
mcrh_WMA_10_KAMA_50,int64
mcrh_WMA_10_SMA_50,int64
mcrh_WMA_10_T3_50,int64
mcrh_WMA_10_TEMA_50,int64
mcrh_WMA_10_TRIMA_50,int64
mcrh_WMA_10_WMA_50,int64
mcrh_WMA_10_DEMA_100,int64
mcrh_WMA_10_EMA_100,int64
mcrh_WMA_10_KAMA_100,int64
mcrh_WMA_10_SMA_100,int64
mcrh_WMA_10_T3_100,int64
mcrh_WMA_10_TEMA_100,int64
mcrh_WMA_10_TRIMA_100,int64
mcrh_WMA_10_WMA_100,int64
mcrh_WMA_10_ti_h20,int64
mcrh_DEMA_20_DEMA_50,int64
mcrh_DEMA_20_EMA_50,int64
mcrh_DEMA_20_KAMA_50,int64
mcrh_DEMA_20_SMA_50,int64
mcrh_DEMA_20_T3_50,int64
mcrh_DEMA_20_TEMA_50,int64
mcrh_DEMA_20_TRIMA_50,int64
mcrh_DEMA_20_WMA_50,int64
mcrh_DEMA_20_DEMA_100,int64
mcrh_DEMA_20_EMA_100,int64
mcrh_DEMA_20_KAMA_100,int64
mcrh_DEMA_20_SMA_100,int64
mcrh_DEMA_20_T3_100,int64
mcrh_DEMA_20_TEMA_100,int64
mcrh_DEMA_20_TRIMA_100,int64
mcrh_DEMA_20_WMA_100,int64
mcrh_EMA_20_DEMA_50,int64
mcrh_EMA_20_EMA_50,int64
mcrh_EMA_20_KAMA_50,int64
mcrh_EMA_20_SMA_50,int64
mcrh_EMA_20_T3_50,int64
mcrh_EMA_20_TEMA_50,int64
mcrh_EMA_20_TRIMA_50,int64
mcrh_EMA_20_WMA_50,int64
mcrh_EMA_20_DEMA_100,int64
mcrh_EMA_20_EMA_100,int64
mcrh_EMA_20_KAMA_100,int64
mcrh_EMA_20_SMA_100,int64
mcrh_EMA_20_T3_100,int64
mcrh_EMA_20_TEMA_100,int64
mcrh_EMA_20_TRIMA_100,int64
mcrh_EMA_20_WMA_100,int64
mcrh_KAMA_20_DEMA_50,int64
mcrh_KAMA_20_EMA_50,int64
mcrh_KAMA_20_KAMA_50,int64
mcrh_KAMA_20_SMA_50,int64
mcrh_KAMA_20_T3_50,int64
mcrh_KAMA_20_TEMA_50,int64
mcrh_KAMA_20_TRIMA_50,int64
mcrh_KAMA_20_WMA_50,int64
mcrh_KAMA_20_DEMA_100,int64
mcrh_KAMA_20_EMA_100,int64
mcrh_KAMA_20_KAMA_100,int64
mcrh_KAMA_20_SMA_100,int64
mcrh_KAMA_20_T3_100,int64
mcrh_KAMA_20_TEMA_100,int64
mcrh_KAMA_20_TRIMA_100,int64
mcrh_KAMA_20_WMA_100,int64
mcrh_SMA_20_DEMA_50,int64
mcrh_SMA_20_EMA_50,int64
mcrh_SMA_20_KAMA_50,int64
mcrh_SMA_20_SMA_50,int64
mcrh_SMA_20_T3_50,int64
mcrh_SMA_20_TEMA_50,int64
mcrh_SMA_20_TRIMA_50,int64
mcrh_SMA_20_WMA_50,int64
mcrh_SMA_20_DEMA_100,int64
mcrh_SMA_20_EMA_100,int64
mcrh_SMA_20_KAMA_100,int64
mcrh_SMA_20_SMA_100,int64
mcrh_SMA_20_T3_100,int64
mcrh_SMA_20_TEMA_100,int64
mcrh_SMA_20_TRIMA_100,int64
mcrh_SMA_20_WMA_100,int64
mcrh_T3_20_DEMA_50,int64
mcrh_T3_20_EMA_50,int64
mcrh_T3_20_KAMA_50,int64
mcrh_T3_20_SMA_50,int64
mcrh_T3_20_T3_50,int64
mcrh_T3_20_TEMA_50,int64
mcrh_T3_20_TRIMA_50,int64
mcrh_T3_20_WMA_50,int64
mcrh_T3_20_DEMA_100,int64
mcrh_T3_20_EMA_100,int64
mcrh_T3_20_KAMA_100,int64
mcrh_T3_20_SMA_100,int64
mcrh_T3_20_T3_100,int64
mcrh_T3_20_TEMA_100,int64
mcrh_T3_20_TRIMA_100,int64
mcrh_T3_20_WMA_100,int64
mcrh_TEMA_20_DEMA_50,int64
mcrh_TEMA_20_EMA_50,int64
mcrh_TEMA_20_KAMA_50,int64
mcrh_TEMA_20_SMA_50,int64
mcrh_TEMA_20_T3_50,int64
mcrh_TEMA_20_TEMA_50,int64
mcrh_TEMA_20_TRIMA_50,int64
mcrh_TEMA_20_WMA_50,int64
mcrh_TEMA_20_DEMA_100,int64
mcrh_TEMA_20_EMA_100,int64
mcrh_TEMA_20_KAMA_100,int64
mcrh_TEMA_20_SMA_100,int64
mcrh_TEMA_20_T3_100,int64
mcrh_TEMA_20_TEMA_100,int64
mcrh_TEMA_20_TRIMA_100,int64
mcrh_TEMA_20_WMA_100,int64
mcrh_TRIMA_20_DEMA_50,int64
mcrh_TRIMA_20_EMA_50,int64
mcrh_TRIMA_20_KAMA_50,int64
mcrh_TRIMA_20_SMA_50,int64
mcrh_TRIMA_20_T3_50,int64
mcrh_TRIMA_20_TEMA_50,int64
mcrh_TRIMA_20_TRIMA_50,int64
mcrh_TRIMA_20_WMA_50,int64
mcrh_TRIMA_20_DEMA_100,int64
mcrh_TRIMA_20_EMA_100,int64
mcrh_TRIMA_20_KAMA_100,int64
mcrh_TRIMA_20_SMA_100,int64
mcrh_TRIMA_20_T3_100,int64
mcrh_TRIMA_20_TEMA_100,int64
mcrh_TRIMA_20_TRIMA_100,int64
mcrh_TRIMA_20_WMA_100,int64
mcrh_WMA_20_DEMA_50,int64
mcrh_WMA_20_EMA_50,int64
mcrh_WMA_20_KAMA_50,int64
mcrh_WMA_20_SMA_50,int64
mcrh_WMA_20_T3_50,int64
mcrh_WMA_20_TEMA_50,int64
mcrh_WMA_20_TRIMA_50,int64
mcrh_WMA_20_WMA_50,int64
mcrh_WMA_20_DEMA_100,int64
mcrh_WMA_20_EMA_100,int64
mcrh_WMA_20_KAMA_100,int64
mcrh_WMA_20_SMA_100,int64
mcrh_WMA_20_T3_100,int64
mcrh_WMA_20_TEMA_100,int64
mcrh_WMA_20_TRIMA_100,int64
mcrh_WMA_20_WMA_100,int64
mcrh_DEMA_50_DEMA_100,int64
mcrh_DEMA_50_EMA_100,int64
mcrh_DEMA_50_KAMA_100,int64
mcrh_DEMA_50_SMA_100,int64
mcrh_DEMA_50_T3_100,int64
mcrh_DEMA_50_TEMA_100,int64
mcrh_DEMA_50_TRIMA_100,int64
mcrh_DEMA_50_WMA_100,int64
mcrh_DEMA_50_ti_h20,int64
mcrh_EMA_50_DEMA_100,int64
mcrh_EMA_50_EMA_100,int64
mcrh_EMA_50_KAMA_100,int64
mcrh_EMA_50_SMA_100,int64
mcrh_EMA_50_T3_100,int64
mcrh_EMA_50_TEMA_100,int64
mcrh_EMA_50_TRIMA_100,int64
mcrh_EMA_50_WMA_100,int64
mcrh_EMA_50_ti_h20,int64
mcrh_KAMA_50_DEMA_100,int64
mcrh_KAMA_50_EMA_100,int64
mcrh_KAMA_50_KAMA_100,int64
mcrh_KAMA_50_SMA_100,int64
mcrh_KAMA_50_T3_100,int64
mcrh_KAMA_50_TEMA_100,int64
mcrh_KAMA_50_TRIMA_100,int64
mcrh_KAMA_50_WMA_100,int64
mcrh_KAMA_50_ti_h20,int64
mcrh_SMA_50_DEMA_100,int64
mcrh_SMA_50_EMA_100,int64
mcrh_SMA_50_KAMA_100,int64
mcrh_SMA_50_SMA_100,int64
mcrh_SMA_50_T3_100,int64
mcrh_SMA_50_TEMA_100,int64
mcrh_SMA_50_TRIMA_100,int64
mcrh_SMA_50_WMA_100,int64
mcrh_SMA_50_ti_h20,int64
mcrh_T3_50_DEMA_100,int64
mcrh_T3_50_EMA_100,int64
mcrh_T3_50_KAMA_100,int64
mcrh_T3_50_SMA_100,int64
mcrh_T3_50_T3_100,int64
mcrh_T3_50_TEMA_100,int64
mcrh_T3_50_TRIMA_100,int64
mcrh_T3_50_WMA_100,int64
mcrh_T3_50_ti_h20,int64
mcrh_TEMA_50_DEMA_100,int64
mcrh_TEMA_50_EMA_100,int64
mcrh_TEMA_50_KAMA_100,int64
mcrh_TEMA_50_SMA_100,int64
mcrh_TEMA_50_T3_100,int64
mcrh_TEMA_50_TEMA_100,int64
mcrh_TEMA_50_TRIMA_100,int64
mcrh_TEMA_50_WMA_100,int64
mcrh_TEMA_50_ti_h20,int64
mcrh_TRIMA_50_DEMA_100,int64
mcrh_TRIMA_50_EMA_100,int64
mcrh_TRIMA_50_KAMA_100,int64
mcrh_TRIMA_50_SMA_100,int64
mcrh_TRIMA_50_T3_100,int64
mcrh_TRIMA_50_TEMA_100,int64
mcrh_TRIMA_50_TRIMA_100,int64
mcrh_TRIMA_50_WMA_100,int64
mcrh_TRIMA_50_ti_h20,int64
mcrh_WMA_50_DEMA_100,int64
mcrh_WMA_50_EMA_100,int64
mcrh_WMA_50_KAMA_100,int64
mcrh_WMA_50_SMA_100,int64
mcrh_WMA_50_T3_100,int64
mcrh_WMA_50_TEMA_100,int64
mcrh_WMA_50_TRIMA_100,int64
mcrh_WMA_50_WMA_100,int64
mcrh_WMA_50_ti_h20,int64
mcrh_DEMA_100_ti_h20,int64
mcrh_EMA_100_ti_h20,int64
mcrh_KAMA_100_ti_h20,int64
mcrh_SMA_100_ti_h20,int64
mcrh_T3_100_ti_h20,int64
mcrh_TEMA_100_ti_h20,int64
mcrh_TRIMA_100_ti_h20,int64
mcrh_WMA_100_ti_h20,int64
NQ_Close,float64
NQ_Volume,float64
NQ_per_Close,float64
NQ_per_Volume,float64
NQ_SMA_20,float64
NQ_SMA_100,float64
